證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 預付費用（增加）減少,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 存入保證金減少,　　 短期借款減少,　 匯率變動對現金及約當現金之影響
1423,2015年01月01日至2015年09月30日,,                -17014,                -17014,,,                 13838,                     25,                 -5017,                 -7376,                 42486,                              0,                 43956,,,                 18688,                   -404,                -50081,                  3039,                    162,                -28596,,                    330,                    647,                  2045,                    -13,                   -882,                  2127,                -26469,                 17487,                    473,                  5006,                    -25,                     72,                  5526,,               -504500,                483210,                 -6664,                              0,                 -1659,                  7376,                -22237,,                    155,                   -152,                      3,                -16708,                185403,                168695,                168695,,,,,,,,,,,
1423,2015年01月01日至2015年06月30日,,                   -140,                   -140,,,                  9406,                     17,                 -3306,,                 27164,,                 33281,,,                  9907,                   -891,                 -6065,,                  2721,                  5221,,                    576,                 -2800,                     43,                     30,                    -59,                 -2210,                  3011,                 36292,                 36152,                  3310,                    -17,                    242,                 39687,,               -500810,                483210,                 -1147,,,,                -23623,,                    128,                   -152,                    -24,                 16040,                185403,                201443,                201443,                   -451,                 -4876,,,,,,,,,
1423,2015年01月01日至2015年03月31日,,                -19539,                -19539,,,                  4773,                      8,                 -1609,,                  7181,,                 10353,,,                 17423,                    -56,                 -5925,                -13572,                  5236,                  3106,,                   -360,                 -3012,                  8535,                     41,                    246,                  5450,                  8556,                 18909,                   -630,                  1612,                     -8,                   -161,                    813,,               -485710,                483210,                   -832,,,,                 -6872,,                     16,                   -152,                   -136,                 -6195,                185403,                179208,                179208,,                 -3540,,,,,,,,,
1423,2014年度,,                -51028,                -51028,,,                 20577,                     32,                 -6839,                 -6012,                 28731,,,,,                -12310,                    464,                 29736,                  5224,                  4549,                 27663,,                    206,                  1903,                              0,                   -108,,                  2346,                 30009,                 66498,                 15470,                  6819,                    -32,                   -232,                 22025,,,,                 -4437,,                  1069,                  6012,                -42766,,                    153,                -15447,                -15294,                -36035,                221438,                185403,                185403,,                              0,,                 36489,                    345,               -483210,                437800,,,,
1423,2014年01月01日至2014年09月30日,,                -45953,                -45953,,,                 15656,                     24,                 -5067,                 -6012,                 16374,                    -15,                 20960,,,                    684,                 -1313,                 96071,                 -4843,                  5897,                 96496,,                    269,                    665,                     36,                   -116,                    342,                  1196,                 97692,                118652,                 72699,                  5047,                    -24,                    -55,                 77667,,               -497910,                437800,                 -3510,                     15,                    867,                  6012,                -56726,,                    139,                              0,                    139,                 21080,                221438,                242518,                242518,,,,,,,,,,,
1423,2014年01月01日至2014年06月30日,,                -34794,                -34794,,,                 10503,                     16,                 -3306,,                 11993,,                 19206,,,                -14730,                   -853,                 55450,,                  3298,                 63167,,                    426,                 -1322,                     43,                   -124,                    260,                   -717,                 62450,                 81656,                 46862,                  3299,                    -16,                   -329,                 49816,,               -483510,                437800,                 -2074,,,,                -46615,,                     82,                              0,                     82,                  3283,                221438,                224721,                224721,                 20002,                  1169,,,,,,,,,
1423,2014年01月01日至2014年03月31日,,                -31105,                -31105,,,                  5288,                      8,                 -1611,,                  6861,,                 10546,,,                 14644,                    780,                  5067,                 17987,                  1255,                 39733,,                    574,                 -3304,                     79,                   -104,                    169,                 -2586,                 37147,                 47693,                 16588,                  1597,                     -8,                   -159,                 18018,,               -461060,                437800,                 -1471,,,,                -23710,,                     42,                              0,                     42,                 -5650,                221438,                215788,                215788,,                  1021,,,,,,,,,
1423,2013年度,,                -22391,                -22391,,,                 22873,                     31,                 -5774,                 -5856,                 36793,,,,,                  3732,                  2287,                110879,                -20206,                  7662,                104354,,                     41,                 -8088,                 -2255,                     -6,,                -41338,                 63016,                111083,                 88692,                  5732,                    -31,                    213,                 94606,,,,                 -3260,,                              0,                  5856,               -397973,,                    279,                              0,                    279,               -303088,                524526,                221438,                221438,,                 -1169,,                 48067,                -31030,               -437800,                 38400,,,,
1423,2013年01月01日至2013年12月31日,,                -22391,                -22391,,,                 22873,                     31,                 -5774,                 -5856,                 36793,,,,,                  3732,                  2287,                110879,                -20206,                  7662,                104354,,                     41,                 -8088,                 -2255,                     -6,,                -41338,                 63016,                111083,                 88692,                  5732,                    -31,                    213,                 94606,,,,                 -3260,,,                  5856,               -397973,,                    279,,                    279,               -303088,                524526,                221438,                221438,,                 -1169,,                 48067,                -31030,               -437800,                 38400,,,                              0,                              0
1423,2013年01月01日至2013年09月30日,,                -34090,                -34090,,,                 17270,                     24,                 -4096,                 -5856,                 19634,                              0,,,,                 10107,                   -861,                167124,                -18280,                  8670,                166760,,                   -512,                 -7371,                 -2204,                    -75,,                -41451,                125309,                152285,                118195,                  4084,                    -24,                    378,                122633,,,,                 -2507,                              0,                              0,                  5856,               -384851,,                    243,,                    243,               -261975,                524526,                262551,                262551,,,,                 26976,                -31289,               -426600,                 38400,,,,
