證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 存出保證金減少,　　 預付設備款減少,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 預付設備款增加,　　 其他金融資產減少,　　 取得無活絡市場之債券投資,　　　　 不動產、廠房及設備轉列費用數
2338,2015年01月01日至2015年09月30日,,               -106086,               -106086,,,                195600,                  4259,                 -2592,                 -2004,                      6,                 -3702,                              0,                              0,                 65308,                              0,                256875,,,                 11853,                  6443,                 -3819,                 18624,                              0,                 55817,                 -2840,                    836,                -53377,                 33537,,                 -4264,                -60801,                 64819,                  1053,                -15917,                    601,                              0,                -14509,                 19028,                275903,                169817,                  3691,                     -6,                -23243,                150259,,                -17789,                              0,                 20461,                 -8870,                              0,                -16567,                              0,                              0,                 -1491,                   -400,                -24656,,                              0,                   -319,               -112273,                -36704,                 -4268,               -153564,                    -11,                -27972,                401028,                373056,                373056,,,,,,,,,,,,,,,
2338,2015年01月01日至2015年06月30日,,               -141080,               -141080,,,                132002,                  3054,                 -2592,                 -1349,                              0,                 -2483,                              0,                              0,                 65308,                              0,                193940,,,,                 10659,                -38479,                 18992,                              0,                 52301,                  8240,                  1982,                  1231,                 54926,,                 -2165,                -46331,                 44311,                    436,                -13220,                    293,                              0,                -16676,                 38250,                232190,                 91110,                  2505,                              0,                -14005,                 79610,,                 -2662,,,                 -6860,                              0,                -17393,                              0,                 -2715,                 -1388,                              0,               -114777,,                              0,,                              0,                              0,                 -7011,                 -7263,                 -1578,                -44008,                401028,                357020,                357020,                              0,                              0,                -84147,                  9795,                              0,                 -9407,                   -252,,,,,,,,
2338,2015年01月01日至2015年03月31日,,                  6202,                  6202,,,                 67412,                  1631,                 -6000,                   -672,                              0,                 -1268,                              0,                              0,,                              0,                 61103,,,                -33800,                  7666,                  3244,                 11399,                              0,                 28964,                 -6934,                  2418,                 -1841,                 11116,,                   -868,                -38858,                  5061,                    259,                 -8190,                    248,                              0,                -42348,                -31232,                 29871,                 36073,                  1268,                              0,                   -201,                 37140,,                   -104,                              0,,                -23300,                              0,                -14439,                              0,                              0,                   -681,                              0,                -38567,,                              0,                              0,                              0,                              0,                 -7775,                 -7842,                     19,                 -9250,                401028,                391778,                391778,                              0,                              0,,,                      4,                    -47,                    -67,,,,,,,,
2338,2014年度,,                 83200,                 83200,,,                283108,                  7519,                  1500,                 -2233,                     81,                 -5817,                              0,                -12813,,                              0,,,,                -75700,                 -7788,                 12546,                 -5167,                     18,                -32262,                 -2535,                 -4076,                 21883,                -93081,,                  5704,                 28950,                -30081,                    677,                 -2366,,                              0,                  2642,                -90439,                196411,                279611,                  5836,                   -130,                -14756,                270561,,                              0,                 19493,,,,                -67221,                    540,                    -60,                -24398,                 -1000,                -18474,,                -43500,                   -289,               -141561,                              0,                -27249,               -212599,                   -217,                 39271,                361757,                401028,                401028,                              0,                 15505,,,                              0,,,,                286850,                   -242,                109554,                -55382,,,
2338,2014年01月01日至2014年09月30日,,                 68786,                 68786,,,                213113,                  3870,                              0,                 -1598,                     81,                 -4424,                              0,                -12736,                              0,                              0,                198306,,,                -80700,                -11474,                 32055,                  5051,                     18,                -39431,                -24941,                  1012,                 11598,               -106812,,                  1229,                 17518,                -25535,                   -162,                 -2074,                    497,                              0,                 -8527,               -115339,                 82967,                151753,                  4434,                   -130,                -14214,                141843,,                 20602,                              0,                              0,                              0,                 81380,                -33856,                    540,                   -124,                 -3936,                -45000,                 19606,,                -43500,                   -283,               -146853,                              0,                 24025,               -166611,                    507,                 -4655,                361757,                357102,                357102,,,,,,,,,,,,,,,
2338,2014年01月01日至2014年06月30日,,                 51300,                 51300,,,                142044,                  2589,                              0,                 -1088,                     81,                 -3003,                              0,                -12761,                              0,                              0,                128402,,,,                -25868,                 29636,                  5278,                     18,                -36594,                -22308,                   -802,                 16420,                -34220,,                 -7209,                 36544,                  7295,                   -643,                 -7400,                   -272,                    312,                 28627,                 -5593,                122809,                174109,                  3055,                   -130,                 -9113,                167921,,                 17515,,,                              0,                 44104,                -65587,                              0,                 -1202,                 -3545,                              0,                -48515,,                -43500,,                              0,                              0,                 -3917,                -47309,                    971,                 73068,                361757,                434825,                434825,                    540,                              0,                -39800,                              0,                              0,                              0,                    108,,,,,,,,
2338,2014年01月01日至2014年03月31日,,                 36139,                 36139,,,                 69991,                  1418,                              0,                   -542,                     76,                 -1533,                              0,                -12796,,                              0,                 56614,,,                 36200,                 -8324,                 -3184,                  5265,                     18,                -19772,                -21704,                 -4225,                  2345,                -13381,,                  1681,                 12143,                 16009,                     76,                  1454,                     17,                              0,                 31380,                 17999,                 74613,                110752,                  1511,                   -125,                 -7254,                104884,,                 20841,                              0,,                              0,                 16664,                -11686,                    540,                              0,                 -2013,                 -1000,                 14229,,                -43500,                      3,                              0,                              0,                  4175,                -39322,                    554,                 80345,                361757,                442102,                442102,                              0,                              0,,,                              0,                 -9117,                              0,,,,,,,,
2338,2013年度,,                 67587,                 67587,,,                312318,                  7305,                  1579,                 -1290,                  2578,                 -6767,                              0,                              0,,                 53860,,,,                213060,                 15168,                 86479,                  8155,                     27,                -84143,                 -3344,                 -2700,                              0,                232702,,                 -8154,                 -8450,                -29661,                -12018,               -145401,,                -15253,               -218937,                 13765,                383726,                451313,                  6767,                 -2578,                -27363,                428139,,                -50339,                              0,,,,               -107439,                              0,                    -34,                 -6132,                              0,               -210676,,                -43500,                    -14,                -83904,                              0,                -38678,               -166096,                -24529,                 26838,                334919,                361757,                361757,                    378,                              0,,,                              0,,,,                369961,                              0,                 57668,               -104400,,,
2338,2013年01月01日至2013年12月31日,,                 67587,                 67587,,,                312318,                  7305,                  1579,                 -1290,                  2578,                 -6767,                              0,,,                 53860,,,,                213060,                 15168,                 86479,                  8155,                     27,                -84143,                 -3344,                 -2700,                              0,                232702,,                 -8154,                 -8450,                -29661,                -12018,               -145401,,                -15253,               -218937,                 13765,                383726,                451313,                  6767,                 -2578,                -27363,                428139,,                -50339,,,,,               -107439,                              0,                    -34,                 -6132,,               -210676,,                -43500,                              0,                -83904,                              0,                -38678,               -166096,                -24529,                 26838,                334919,                361757,                361757,                    378,                              0,,,                              0,,                    -14,,                369961,,                 57668,               -104400,,                              0,
2338,2013年01月01日至2013年09月30日,,                 40696,                 40696,,,                237445,                  3628,                  1334,                 -2800,                  2282,                 -5066,                              0,                              0,,                 -3341,,,,                195428,                  5441,                 85082,                 23615,                     45,                -47367,                -10003,                 -3680,                              0,                248561,,                 -7587,                -12554,                   -556,                -12302,                -97212,,                 -1190,               -131401,                117160,                351201,                391897,                  5066,                 -2400,                -35141,                359422,,                -67581,,,,,                -70852,                              0,                    -34,                 -1897,,               -147103,,                -43500,                     -2,                -83904,                -10564,                -38678,               -176648,                   -952,                 34719,                334919,                369638,                369638,                    372,                    187,,,                              0,                -64509,,,                234041,                              0,                 57770,,                              0,,
