證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 投資性不動產公允價值調整損失(利益),　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 處分投資性不動產損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　 發行公司債,　　 舉借長期借款,　　　　 不動產、廠房及設備轉列費用數,　　 預付投資款增加,　　 其他非流動資產減少,　　　　　 應付帳款－關係人增加（減少）,　　 因合併產生之現金流入
2442,2015年01月01日至2015年09月30日,,                 51470,                 51470,,,                 10190,                    765,                 10296,                  4874,                -30290,                 -8232,                  4444,                    -71,                 11022,                              0,                  2998,,,                 40729,                -97129,                 -2603,                 39942,                -33305,                -16246,                -68612,,                  1043,                118607,                 65469,                 13951,                 49049,                248119,                179507,                182505,                233975,                 27974,                  8232,                -29081,                   -123,                240977,,                 32489,               -231911,                239522,                -30269,                 -9326,                  1157,                 -1152,                              0,                -84187,                -83677,,                451801,               -552654,                      2,                              0,                 -5502,                    250,               -106103,                -11329,                 39868,                447575,                487443,                487443,,,,,,,,,,,,,
2442,2015年01月01日至2015年06月30日,,                 73133,                 73133,,,                  7022,                    520,                 -3347,                  3389,                -21140,                 -3018,                  4728,,                  3217,,                 -8629,,,               -114898,                -48866,                -64978,                 56840,                -17640,                -10732,               -200274,,                              0,                 53612,                 45780,                 13951,                 23039,                136382,                -63892,                -72521,                    612,                 22627,                  3018,                -18872,                   -123,                  7262,,,,                168553,,                   -769,                    260,                   -674,,                -84540,                 82830,,                514042,               -532654,,                     17,                              0,                    -83,                -18678,                -20550,                 50864,                447575,                498439,                498439,,,,,,,,,,,,,
2442,2015年01月01日至2015年03月31日,,                 43250,                 43250,,,                  3831,                    259,                 -3495,                  1716,                -10598,                 -1473,,,                  3736,,                 -6024,,,                -47473,                 32149,                 -3119,                 89455,                -11941,                              0,                 59071,,,                  7876,                -15769,,                  3605,                 -4288,                 54783,                 48759,                 92009,                 10188,                  1473,                -10002,                              0,                 93668,,,,                 29262,,                   -119,                    262,                   -627,                 -3526,               -145852,               -122192,,                562205,               -532654,,                      9,,                    -34,                 29526,                 -7444,                 -6442,                447575,                441133,                441133,                 -1592,,,,,,,,,,,,
2442,2014年度,,                154446,                154446,,,                 13811,                    748,                 -4600,                  5578,                -27587,                 -9010,,                              0,                  4829,,,,,               -141052,                 -1347,                 28357,                -63199,                -21362,,               -198603,,                   -262,                 49598,                -58577,,                 64026,                 54785,               -143818,                -91430,                 63016,                 25598,                  9010,                -38819,                 -8880,                 49925,,,               -394210,                141593,,                 -5015,                              0,                 -1769,                  2112,                 89052,               -168237,,                251238,,,                    -44,                 -8699,                     89,                242584,                 17573,                141845,                305730,                447575,                447575,,,                              0,                 68619,                              0,                 52388,                              0,,,,,,
2442,2014年01月01日至2014年09月30日,,                129794,                129794,,,                 10348,                    552,                 -9315,                  4151,                -19213,                 -7568,                              0,                              0,                 -3707,                 68619,                 43867,,,                -90968,                -41644,                 26743,                -54968,                -15844,                              0,               -176681,,                   -225,                 56978,                -26240,                              0,                 33295,                 63808,               -112873,                -69006,                 60788,                 15426,                  7568,                -25550,                 -6209,                 52023,,                 25068,               -358624,                147635,                              0,                 -4947,                      7,                   -276,                  1531,                -32088,               -221694,,                493517,               -345568,                              0,                    -34,                 -8698,                    -13,                139204,                  9475,                -20992,                305730,                284738,                284738,,,,,,,,,,,,,
2442,2014年01月01日至2014年06月30日,,                 47391,                 47391,,,                  6701,                    374,                              0,                  2620,                -11765,                 -3429,                              0,,                   -787,,                 -6286,,,               -106171,                 17619,                  1751,                -47356,                -13150,                  1014,               -146293,,                   -262,                  3370,                 24559,                              0,                 19647,                 47314,                -98979,               -105265,                -57874,                  9261,                  3429,                -16027,                 -6201,                -67412,,,,                              0,,                 -4560,                      7,                   -276,,                -32088,                -36917,,                390010,               -277568,,                    192,                 -8699,                    -77,                103858,                  1486,                  1015,                305730,                306745,                306745,,,,,,,,,,,,,
2442,2014年01月01日至2014年03月31日,,                 30247,                 30247,,,                  3135,                    184,                              0,                  1226,                 -5868,                 -1721,,,                    729,,                 -2315,,,               -156303,                 28588,                -11876,                -44488,                 -4089,                    185,               -187983,,,                  9408,                -17864,,                 23199,                 14743,               -173240,               -175555,               -145308,                  2215,                  1058,                   -970,                   -307,               -143312,,,,                              0,,                 -1574,                              0,                   -276,                              0,                -32088,                -33938,,                202793,                              0,,                    172,,                    -31,                202934,                  7356,                 33040,                305730,                338770,                338770,                              0,,,,,,,,,,,,
2442,2013年度,,                128835,                128835,,,                 11516,                  1125,                              0,                 14252,                -15821,                              0,,                 -1171,                 -2731,,,,,               -313627,                -45599,                -14154,                 -5975,                  2739,,               -376616,,                     -8,                -19998,                 28943,,                   -325,                  8612,               -368004,             -1986517,             -1857682,                 15523,                              0,                -11472,                    -94,             -1853725,,,                              0,                              0,,                -21004,                118252,                   -446,                 -2698,                              0,                 94104,,              1113549,,,                 -1336,                 -8170,                    165,              1504208,                 -1251,               -256664,                562394,                305730,                305730,,,                     -6,                 28048,             -1653725,             -1618513,                400000,,,,,,
2442,2013年01月01日至2013年12月31日,,                128835,                128835,,,                 11516,                  1125,,                 14252,                -15821,,,                 -1171,                 -2731,,,,,               -313627,                -45599,                -14154,                 -5975,                  2739,,               -376616,,                     -8,                -19998,                 28943,,                   -325,                  8612,               -368004,             -1986517,             -1857682,                 15523,,                -11472,                    -94,             -1842253,,,,,,                -21004,                118252,                   -446,                 -2698,,                 94104,,                 27589,,,                 -1336,                 -8170,                    165,              1492736,                 -1251,               -256664,                562394,                305730,                305730,                              0,,                     -6,,             -1653725,             -1618513,                400000,              1085960,                 28048,                              0,,,
2442,2013年01月01日至2013年09月30日,,                 88115,                 88115,,,                  7690,                  2148,,                  9096,                -11340,,,                   -275,,,,,,               -244453,                -20127,                 -2451,               -882334,                  1255,,             -1148110,,,                -17359,                -33057,,                 19944,                -30472,             -1178582,             -1171263,             -1083148,                  9481,,                 -7818,                    -73,             -1073740,,,,,,                -11240,                  1361,                   -184,,,                 -7760,,                              0,                -10039,                              0,                 -1162,,                     83,                717024,                -11868,               -376344,                562394,                186050,                186050,,,                              0,,,                  7319,                400000,                335960,,,                  2303,,
