證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 舉借長期借款,　　　　　 應付建造合約款（增加）減少,　　 取得無形資產
2464,2015年01月01日至2015年09月30日,,                478686,                478686,,,                 53574,                  5772,                -17207,                  3495,                 -4420,                  1108,                  1464,                  1947,                  4581,                 50314,,,                -22019,                 52655,               -238553,                -11215,               -576975,                -31501,               -106590,                -98694,             -1032892,,                -35334,                646304,                223011,                   -810,               -193387,                -38577,                  2865,                604072,               -428820,               -378506,                100180,                -62729,                 37451,,                 18369,                -11270,               -387508,                      4,                -17608,                -10928,                 70699,                  5297,               -332945,,                 27145,                 49984,               -200826,                 -3475,               -127172,                -11539,               -434205,              1006789,                572584,                572584,,,,,,,,,
2464,2015年01月01日至2015年06月30日,,                274323,                274323,,,                 34563,                  3769,                 -2599,                  1282,                 -7582,                    695,                  1389,                -19966,                    953,                 12504,,,                -10003,                 71331,                -79773,                   -787,               -291290,                -13148,               -124895,                -15008,               -463573,,                 66374,                211836,                151040,                   -868,               -235346,                -97263,                  1973,                 97746,               -365827,               -353323,                -79000,                -30700,               -109700,,                 18369,                -11270,               -341244,                     13,                 23558,                 -2113,                 49442,                  5799,               -257446,,                527715,                 39980,,                 -1074,                566621,                -15340,                184135,              1006789,              1190924,              1190924,,,,,,,,,
2464,2015年01月01日至2015年03月31日,,                135510,                135510,,,                 17096,                  1897,                 -4452,                     80,                 -3630,                    205,                     62,                 -6989,                   -269,                  4000,,,                              0,                 38832,                -45155,                 -3216,                -62802,                -12625,               -102769,                -26597,               -214332,,                 21318,                 51042,                 91595,                   -397,               -126412,               -108495,                    958,                -70391,               -284723,               -280723,               -145213,                 -2938,               -148151,,                 18369,,                -11631,                      5,                 24468,                 -1236,                 -1600,                  1810,                 30185,,                 19499,                              0,,                    -51,                 19448,                -17474,               -115992,              1006789,                890797,                890797,,,,,,,,,
2464,2014年度,,                446195,                446195,,,                 65028,                  8738,                 17695,                  1782,                -11259,                    431,                  1745,                 28551,                   -220,,,,                  1566,                -50871,                 22654,                  1778,                -84606,                -25339,                165303,                -42099,                -11614,,                -37864,                184706,                 -3914,                 -2786,                304289,                 60687,,                540753,                529139,                641630,              1087825,                -59171,              1028654,,,,                -78888,                    809,                -31721,                -10526,                -85476,                  9382,               -214789,,                175725,               -214874,               -273853,                 -1784,               -314786,                -10744,                488335,                518454,              1006789,              1006789,,                              0,                              0,                112491,                 35635,                -18369,                              0,,
2464,2014年01月01日至2014年09月30日,,                338958,                338958,,,                 48638,                  6809,                  7545,                  1605,                 -6051,                    168,                  1291,                  8120,                  5490,                 73615,,,                  1566,                -18130,                -76454,                  3278,                237316,                -32699,                154809,               -104672,                165014,,                 -3361,                185895,                -19878,                 -3410,                 32021,                -34867,                  1937,                158337,                323351,                396966,                735924,                -52501,                683423,,                              0,                 -5369,                -50723,                    781,                -41248,                 -1897,                -37651,                  4909,               -131198,,                247775,               -144904,               -273853,                 -1583,               -172565,                    161,                379821,                518454,                898275,                898275,,,,,,,,,
2464,2014年01月01日至2014年06月30日,,                209972,                209972,,,                 32367,                  4807,                 13073,                    991,                 -3565,                    305,                    164,                 -6919,                  1748,                 42971,,,                  1566,                -16355,               -185586,                    548,                164061,                -11401,                101793,                -37119,                 17507,,                -26813,                -65219,                    767,                 -3265,                 29973,               -100513,                  1357,               -163713,               -146206,               -103235,                106737,                -22281,                 84456,,                              0,                              0,                -32648,                    493,                -39672,                   -900,                 -1089,                  1098,                -72718,,                104663,                -14953,,                 -1690,                 88020,                 -2987,                 96771,                518454,                615225,                615225,,,,,,,,,
2464,2014年01月01日至2014年03月31日,,                 96800,                 96800,,,                 15004,                  2522,                  7996,                    590,                 -1655,                     99,                     59,                 -5265,                  2005,                 21355,,,                     -3,                 14139,                119659,                    946,                -17247,                 -5152,                191660,                -27510,                276492,,                -56735,                -81102,                 -3832,                 -2555,                 38925,                -85158,                    673,               -189784,                 86708,                108063,                204863,                 -5800,                199063,,                              0,,                -28746,                              0,                -35157,                   -315,                   -180,                   -862,                -65260,,                 45765,                 55040,,                 -1289,                 99516,                  8420,                241739,                518454,                760193,                760193,,,,,,,,,
2464,2013年度,,                390516,                390516,,,                 59922,                 10426,                 -9514,                  6917,                 -5991,                    263,                   -494,                 -8005,                 -6140,,,,                  3972,                   -309,                 36697,                 13791,                355889,                 10038,                -26171,                 -5037,                388870,,                120021,                301014,                 14805,                  2998,               -366383,                 70186,,                144812,                533682,                590552,                981068,                -26241,                954827,,,,                -53823,                  2037,                -31729,                 -8575,                   -945,                  3507,                -89528,,                -43246,               -265055,               -182569,                 -7616,               -898486,                 29744,                 -3443,                521897,                518454,                518454,,                    352,                  9134,                 56870,                  2171,                              0,               -400000,,
2464,2013年01月01日至2013年12月31日,,                390516,                390516,,,                 59922,                 10426,                 -9514,                  6917,                 -5991,                    263,                   -494,                 -8005,                 -6140,,,,                  3972,                   -309,                 36697,                 13791,                355889,                 10038,                -26171,                 -5037,                388870,,                120021,                301014,,                  2998,               -366383,                 70186,,                144812,                533682,                590552,                981068,                -26241,                954827,,,,                -53823,                  2037,                -31729,                 -8575,                   -945,                  3507,                -89528,,                -43246,               -265055,               -182569,                 -7616,               -898486,                 29744,                 -3443,                521897,                518454,                518454,,                    352,                  9134,                 56870,                  2171,,               -400000,                 14805,                              0
2464,2013年01月01日至2013年09月30日,,                318028,                318028,,,                 44933,                  7816,                -12984,                  5818,                 -3829,                    263,                 -1239,                 -3815,                 -4613,,,,               -237134,                -40981,                158423,                 10067,                476644,                -36436,                189400,                -11096,                508887,,                103115,                167838,                136140,                  4104,               -228169,                -98622,,                 86156,                595043,                636879,                954907,                -24813,                930094,,,                              0,                -50031,                  2036,                -34520,                 -3797,                 -2308,                  1853,                -86767,,                    697,               -479929,               -182569,                 -6170,               -834082,                 20284,                 29529,                521897,                551426,                551426,,                    352,                  9134,                 41836,                  1750,,               -166111,,
