證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 其他非流動負債增加,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融負債增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 存出保證金減少,　　　　　 其他營業負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 償還公司債,　　 存入保證金增加,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 發放現金股利,　　　　　 其他金融資產（增加）減少
6191,2015年01月01日至2015年09月30日,,                -57424,                -57424,,,                957533,                  2164,                -47750,                 -2127,                127140,                   -129,               -106651,                    -84,                 -1322,                -69066,                 14138,                873846,,,                -48883,                 -3681,              1817100,                -21645,                172391,               -342832,                -14758,              1557692,,                    953,               -642761,                -22674,               -204659,                 26413,                 -1104,               -843832,                713860,              1587706,              1530282,                 70531,               -128867,                -79177,              1392769,,                -22430,                    960,                -10862,                484310,               -434757,                 73583,                 21471,                   -654,                              0,              2162522,               -303385,                  6759,              1977517,,             -1392573,              1157024,             -1930178,                -20917,                              0,                 -6843,                   -543,             -2194030,                321687,              1497943,              2404600,              3902543,              3902543,,,,,,,,,,,,,,,,
6191,2015年01月01日至2015年06月30日,,                -82901,                -82901,,,                645040,                  1198,                -43438,                 -1457,                 85892,                   -129,                -73949,,                    264,                -63185,                  9369,                559605,,,,                    579,              2264709,                    943,                119987,               -124700,                 12988,              2274506,,                    -34,               -940594,                -21807,               -415741,                  5775,                      2,             -1448910,                825596,              1385201,              1302300,                 40937,                -87543,                -78104,              1177590,,,                    960,                -10862,                484310,               -263296,                 26334,,                   -654,,              1960501,               -133535,,              2065767,,             -1099684,                414141,             -1047366,                -16549,                              0,,                              0,             -1749458,               -155583,              1338316,              2404600,              3742916,              3742916,                -76511,                              0,                  2009,,,,,,,,,,,,,
6191,2015年01月01日至2015年03月31日,,               -191281,               -191281,,,                331538,                    606,                  5509,                   -778,                 47852,                   -129,                -40586,,                 -2742,                      4,                  4738,                346012,,,,              1508373,,                    963,                142018,               -360590,                 26024,              1316788,,               -325619,,                -22780,               -261891,                -33490,,               -663511,                653277,                999289,                808008,                 17940,                -45151,                -42451,                738346,,,                    960,                -10862,,               -191776,                    553,,                   -662,,              1794668,                -81520,,              1511768,,               -842581,                413160,               -585110,                -10069,,,                              0,             -1024600,                -63468,              1162046,              2404600,              3566646,              3566646,                -19732,,                    407,                      1,,,,,,,,,,,,
6191,2014年度,,                221561,                221561,,,              1364445,                  2860,                   -309,                 -2520,                211613,,               -186019,                              0,                -38639,                -25791,                 19938,,,,,                    645,               -357141,                181932,                -84610,                361171,                -66617,                 35380,,                   -215,             -1425769,                 -1488,                 21178,                 72440,,             -1333935,             -1298555,                 47023,                268584,                188129,               -207397,                -91889,                157427,,,,               -568224,,               -520237,                362176,,                   -873,                              0,             -2170862,               -528381,                              0,             -3463618,,                797351,              3189575,             -2196414,,                 15067,,                  2715,              1801145,                374862,             -1130184,              3534784,              2404600,              2404600,,,                -37217,,,                              0,                              0,              1345578,                    -81,                              0,                 -7149,,,,,
6191,2014年01月01日至2014年09月30日,,                190777,                190777,,,              1043127,                  2297,                   -349,                 -2996,                155522,                              0,               -135939,                              0,                -28309,                -25417,                 14674,              1022610,,,               -396391,                 -5698,               -517838,                162054,                -34198,                154146,                    -82,               -638007,,                   -378,               -782738,                  2865,               -144445,                122882,                    229,               -801585,             -1439592,               -416982,               -226205,                128215,               -151725,                -67054,               -316769,,                              0,                              0,               -260259,                              0,               -564871,                 45048,                -35880,                   -868,                              0,             -1908069,               -353460,                              0,             -3078359,,              1148506,              2975031,             -1923584,                  6509,                 14494,                              0,                  2715,              2223671,                 96445,             -1075012,              3534784,              2459772,              2459772,,,,,,,,,,,,,,,,
6191,2014年01月01日至2014年06月30日,,                 71026,                 71026,,,                716900,                  1754,                 -2031,                    147,                104529,                              0,                -79536,,                -22204,                -27930,                  9802,                701431,,,,                -13938,               -324245,                125686,                -71411,                155672,                 -3259,               -131495,,                   -165,               -701139,                -13857,               -181218,                 22900,                    541,               -872938,             -1004433,               -303002,               -231976,                 85845,               -100427,                -41348,               -287906,,,                              0,                -10343,                              0,               -394155,                 33720,,                   -869,,             -1126033,               -181532,,             -2150347,,                790796,              1098651,               -102823,                 11153,                     -2,,                  2715,              1800490,                -11861,               -649624,              3534784,              2885160,              2885160,                              0,               -437993,                -33142,,,,,,,,,,,,,
6191,2014年01月01日至2014年03月31日,,                  3038,                  3038,,,                372027,                    457,                    894,                    582,                 49501,                              0,                -32506,,                -18097,                -28440,                  4932,                349350,,,,                449042,,                127739,                 21162,                252838,                 57349,                908130,,               -924572,,                -21430,               -170736,                 21305,,             -1095212,               -187082,                162268,                165306,                 28919,                -44813,                -19855,                129557,,,                              0,                -10343,,               -334555,                 32599,,                   -845,,             -1063063,                  2054,,             -1410123,,                652861,                304700,                -49376,                  2405,,,                    185,                910775,                108086,               -261705,              3534784,              3273079,              3273079,                              0,,                -35970,                    221,,,,,,,,,,,,
6191,2013年度,,               -235870,               -235870,,,              1459969,                    406,                 43990,                 -9709,                192582,,                -90226,                    -84,                -21419,                  7116,                 56362,,,,,                 17615,               -500131,                 41093,                130953,               -141138,                178266,               -273342,,                -12304,                956822,               -106618,                 49960,                -76627,,                811326,                537984,              2421871,              2186001,                 66283,               -189091,               -243648,              1819545,,,,                -18286,,               -468614,                  8365,,                -10688,                    -67,             -1014764,               -554074,                     84,             -2077277,,             -1466700,              1820342,               -701539,,                   -204,,                              0,               -954800,                 41203,             -1171329,              4706113,              3534784,              3534784,,,                -19233,,,                223486,                 21414,              1883887,                     93,               -600000,                 -6699,,,,,
6191,2013年01月01日至2013年12月31日,,               -235870,               -235870,,,              1459969,                 19785,                 43990,                 -9709,                192582,,                -90226,                    -84,                -21419,                  7116,                 36983,,,,,,               -482516,                 41093,                130953,               -141138,                178266,               -273342,,,                944518,               -106618,                 49960,                -76627,,                811122,                537780,              2421667,              2185797,                 66283,               -189091,               -243648,              1819341,,                              0,,                -18286,,               -468614,                  8365,,                -10688,                    -67,             -1014764,               -554074,                     84,             -2077277,,             -1466700,              1820342,               -701539,,,,                              0,               -954596,                 41203,             -1171329,              4706113,              3534784,              3534784,,,                -19233,                   -204,,                223486,                 21414,              1883887,                     93,               -600000,                 -6699,                              0,                              0,                              0,                              0,
6191,2013年01月01日至2013年09月30日,,                 40787,                 40787,,,              1096948,                    224,                 43102,                 -9919,                142313,,                -61330,                    -84,                 -7590,                  1158,                 14561,,,,                              0,                 19585,               -590682,                 68921,                 -1564,               -207049,                231769,               -479020,,                 -8776,                552211,               -107286,               -163204,                -99881,,                175314,               -303706,                937080,                977867,                 52817,               -135072,               -155764,                739848,,,,                -11125,,               -334733,                  7591,                 -3108,                 -2342,                    -67,             -1098608,               -402840,                     84,             -1845148,,               -877353,              1512458,               -431029,                 -9453,                   -501,,                    354,                194476,                -46803,               -957627,              4706113,              3748486,              3748486,,,,,,,                 21403,              1240786,                  2250,,,,,,,
