公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款減少,　　 其他非流動負債減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 取得無形資產,　　　　　 其他金融資產（增加）減少,　　 存入保證金減少,　　 停業單位稅前淨利（淨損）,　　　　 投資性不動產公允價值調整損失(利益),　　　　　 持有供交易之金融資產（增加）減少,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 採用權益法之被投資公司減資退回股款,　　 其他金融資產增加,　　 存入保證金增加,　　 其他非流動負債增加,　　 非控制權益變動,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 除列避險之衍生金融負債,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 取得按攤銷後成本衡量之金融資產,　　 處分按攤銷後成本衡量之金融資產,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 避險之衍生金融資產（增加）減少,　　 備供出售金融資產減資退回股款,　　　　　 預付款項（增加）減少
2103,2015年01月01日至2015年09月30日,,549021,549021,,,677880,130611,2232,119375,-77746.0,-65848.0,258990,11416,8848.0,-82784.0,300000.0,1282974.0,,,147675,524343.0,77020.0,852005,-71208,1529835,,-112857,-11620,-188539,-10119.0,-323135,1206700,2489674,3038695,78508.0,-123641,-161209,2832353,,-310700.0,996.0,-642688,695,48230.0,92037.0,-811430,,12268305.0,-12998065.0,99416,750000,-2000646,-4192.0,-25861.0,-1357993,-3269036,144782,-1103331,5092877,3989546,3989546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,2015年01月01日至2015年06月30日,,682154,682154,,,450312,88321,1916,82694,-57512.0,-41267.0,167455,11410,5989.0,-82784.0,,626534.0,,,85202,641655.0,55398.0,603882,7193,1393330,,117742,-12566,-281875,-9226.0,-185925,1207405,1833939,2516093,60261.0,-85599,-146377,2344378,,-310700.0,996.0,-472051,1569,,16971.0,-695693,,,-60294.0,-199723,0,-1501027,-2581.0,-64181.0,-108692,-1936498,-88604,-376417,5092877,4716460,4716460,0.0,67522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,2015年01月01日至2015年03月31日,,273315,273315,,,228576,46814,2098,44175,-34509.0,,147030,11071,,,,448418.0,,,107747,555947.0,-18353.0,634311,48469,1328121,,-53700,-19851,-269190,-3588.0,-346329,981792,1430210,1703525,35778.0,-45649,-31813,1661841,,,,-226269,4937,,,-208909,,-590782.0,,-51523,0,-1039637,-1583.0,9793.0,-515,-1674247,-61392,-282707,5092877,4810170,4810170,3163.0,12423.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,2014年度,,1547544,1547544,,,921228,188958,735,199286,-109856.0,-50857.0,362357,6090,,,,,,,155189,-301474.0,-137619.0,-210709,192026,-302587,,-233164,33889,29477,,-180835,-483422,1046844,2594388,104403.0,-189568,-473652,2035571,,-6341.0,,-480312,966,,50857.0,-467229,,,-318376.0,-311516,2325034,-2038107,-6287.0,0.0,-1286916,-1636168,165730,97904,4994973,5092877,5092877,12325.0,-32399.0,,1530266.0,-13493.0,2456.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2103,2014年01月01日至2014年09月30日,,1154635,1154635,,,681136,142352,564,150071,-83316.0,-50857.0,254394,4352,9188.0,0.0,0.0,1107884.0,,,234228,-108400.0,-57005.0,-338899,-155230,-425306,,-262272,504,-193400,-10071.0,-465239,-890545,217339,1371974,77810.0,-152878,-383839,913067,,-6341.0,0.0,-266190,527,2143.0,50857.0,-219004,,13769114.0,-13051425.0,750059,333353,-1260162,-4429.0,-76498.0,-1282906,-822894,141049,12218,4994973,5007191,5007191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,2014年01月01日至2014年06月30日,,798871,798871,,,458313,98189,690,100067,-56942.0,-16971.0,170894,1605,6142.0,0.0,,761987.0,,,129526,-318492.0,0.0,111183,269329,191546,,35668,811,-198063,-6720.0,-168304,23242,785229,1584100,52341.0,-100106,-199180,1337155,,0.0,0.0,-147764,302,,16971.0,-138233,,,-226122.0,249935,52191,-577955,-2873.0,-15889.0,-211729,-732442,-24016,442464,4994973,5437437,5437437,0.0,-7742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,2014年01月01日至2014年03月31日,,356932,356932,,,231844,49765,0,51334,-26510.0,,74073,620,,,,384243.0,,,50654,-387078.0,0.0,-212805,220674,-328555,,14487,29598,-279499,-3368.0,-238782,-567337,-183094,173838,22722.0,-52832,-85713,58015,,,,-68547,91,,,-44667,,422321.0,,200530,80049,-576707,-1565.0,-7727.0,-4940,111961,49901,175210,4994973,5170183,5170183,3117.0,23789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,2013年度,,2102002,2102002,,,910846,188665,0,184832,-97576.0,-41267.0,153909,-54,,,,,,,600745,1206227.0,156050.0,470960,-61697,2372285,,-156485,-58134,-8613,,-372102,2000183,3311649,5413651,82849.0,-180197,-1115796,4200507,,0.0,,-922538,2228,,41267.0,-856475,,,-388485.0,449415,689026,-1593408,0.0,-5811.0,-2621308,-3470571,-25651,-152190,5147163,4994973,4994973,12111.0,22816.0,,1311466.0,-12145.0,-136725.0,-248.0,,,,,,,,,,,,,,,,,,,,,,,
2103,2013年01月01日至2013年12月31日,,2102002,2102002,,,910846,188665,0,184832,-97576.0,-41267.0,153909,-54,,0.0,,,,,600745,,,470960,-61697,2372285,,-156485,-58134,-8613,,-372102,2000183,3311649,5413651,82849.0,-180197,-1115796,4200507,,0.0,,-922538,2228,,41267.0,-856475,,-388485.0,,449415,689026,-1593408,,-5811.0,-2621308,-3470571,-25651,-152190,5147163,4994973,4994973,12111.0,22816.0,,1311466.0,-12145.0,-136725.0,-248.0,,,,,,,,0.0,,,,,,,1206227.0,156050.0,0.0,0.0,0.0,0.0,,,
2103,2013年01月01日至2013年09月30日,,1874433,1874433,,,672714,141217,0,135107,-65593.0,-41267.0,212683,12,,,,,,,460897,1080170.0,,1321017,134192,2909626,,-442006,-56349,-242835,,-847043,2062583,3126525,5000958,65593.0,-129695,-1049449,3887407,,0.0,,-550944,4645,,41267.0,-514509,,616677.0,,0,159793,-1132943,-4194.0,,-2621604,-3027893,16331,361336,5147163,5508499,5508499,9069.0,-3991.0,,1063942.0,-8856.0,-96997.0,-5486.0,-86650.0,-45622.0,,,,,,,,,,,,,,,,,,,,,
