公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 償還長期借款,　　 其他非流動負債減少,　　 發放現金股利,　　 現金增資,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業資產（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 預付投資款增加,　　 其他金融資產增加,　　 短期借款增加,　　　　 利息收入,　　　　　 應付票據增加（減少）,　　 收取之利息,　　　　 不動產、廠房及設備轉列費用數,　　　　　 應收帳款－關係人（增加）減少,　　 其他投資活動
2712,2015年01月01日至2015年09月30日,,91054,91054,,,37201,0.0,536,0,277,1747.0,39761.0,,,0.0,-10282,-1429,157,-2976,-1312.0,-15842,,7074,-2097,-8449,-9550,-13022,-28864,10897,101951,-675,-26087,75189,,0.0,-5179,0,28.0,4621.0,-530,,5000.0,34909,-20000,0.0,-105000.0,0.0,266.0,-84825,-10166,32008,21842,21842,,,,,,,,,,,,
2712,2015年01月01日至2015年06月30日,,36037,36037,,,25260,0.0,340,0,54,1005.0,26659.0,,,0.0,-3829,184,568,-3974,,-7136,,-1876,-4469,-24491,-6666,-37502,-44638,-17979,18058,-393,-16111,1554,,0.0,-3161,0,-16.0,2924.0,-253,,-20000.0,4991,0,0.0,,0.0,0.0,-15009,-13708,32008,18300,18300,-85.0,,,,,,,,,,,
2712,2015年01月01日至2015年03月31日,,15889,15889,,,12742,0.0,216,0,15,440.0,13413.0,,,0.0,6649,-13,577,-115,,7113,,-6331,-12277,-12513,-3824,-34945,-27832,-14419,1470,-283,0,1187,,0.0,-975,0,7.0,3885.0,2917,,-10000.0,19980,-20000,0.0,0.0,0.0,266.0,-9754,-5650,32008,26358,26358,15.0,,,,,,,,,,,
2712,2014年度,,117509,117509,,,50724,32.0,2879,0,53,2958.0,,,,0.0,-53,168,882,1486,,2797,,-34,-2591,10518,1997,9890,12687,69333,186842,-3057,-13712,170073,,0.0,-11584,63,7.0,-94.0,-11608,,10000.0,-4998,-120000,0.0,-57750.0,0.0,1587.0,-171161,-12696,44704,32008,32008,314.0,,56646.0,,,,,,,,,
2712,2014年01月01日至2014年09月30日,,103379,103379,,,37852,0.0,2568,0,43,2484.0,42947.0,,,0.0,-6035,-200,1116,-1575,-377.0,-7071,,14195,-3784,-2620,7053,14844,7773,50720,154099,-2707,-13708,137684,,0.0,-9901,63,28.0,5747.0,-4063,,-10000.0,-5,-90000,0.0,-57750.0,0.0,1853.0,-155902,-22281,44704,22423,22423,,,,,,,,,,,,
2712,2014年01月01日至2014年06月30日,,29152,29152,,,25345,0.0,1984,0,64,1110.0,28503.0,,,0.0,-24712,137,1361,-2872,,-26191,,4548,-3626,-25313,4370,-20021,-46212,-17709,11443,-1941,-9746,-244,,0.0,-8043,0,0.0,3801.0,-4242,,80000.0,19997,-20000,0.0,,0.0,1853.0,81850,77364,44704,122068,122068,-105.0,,,,,,,,,,,
2712,2014年01月01日至2014年03月31日,,6195,6195,,,12635,0.0,978,0,32,548.0,14193.0,,,0.0,-16887,166,1539,1018,,-14156,,-5841,-15116,-4953,2003,-23907,-38063,-23870,-17675,-1034,0,-18709,,0.0,-2368,0,0.0,7001.0,4633,,0.0,29936,-30000,0.0,0.0,0.0,297.0,233,-13843,44704,30861,30861,8.0,,,,,,,,,,,
2712,2013年度,,75799,75799,,,51056,21.0,10421,0,464,1995.0,,,,0.0,12049,-12,416,106,,12662,,-1532,8614,3844,-3895,7031,19693,83650,159449,-11092,-2418,145939,,144.0,-9951,8,296.0,-3137.0,-12640,,-20000.0,19996,-310000,0.0,-38000.0,214815.0,4233.0,-128956,4343,40361,44704,44704,103.0,,63957.0,,,,,,,,,
2712,2013年01月01日至2013年12月31日,,75799,75799,,,51056,21.0,10421,0,464,1995.0,,,,0.0,12049,-12,416,106,,12102,,-1532,8614,3844,-3895,7031,19133,83090,158889,-11092,-2418,145379,,144.0,-9391,8,296.0,,-12080,,,19996,-310000,0.0,-38000.0,214815.0,4233.0,-128956,4343,40361,44704,44704,-457.0,,63957.0,,-3137.0,-20000.0,,,,,,
2712,2013年01月01日至2013年09月30日,,60495,60495,,,38502,0.0,8408,0,31,1493.0,,,,-11.0,8522,-342,-127,-817,,7286,,15911,760,-6682,-2077,7912,15198,63632,124127,-8640,-2415,113072,,144.0,-7268,8,356.0,6686.0,-74,,-30000.0,29988,-90000,0.0,-38000.0,0.0,1442.0,-126570,-13572,40361,26789,26789,61.0,,48434.0,,,,,,,,,
2712,2013年01月01日至2013年06月30日,,4675,4675,,,25718,0.0,5907,0,24,864.0,,,,0.0,6480,113,-456,-2015,,4476,,2064,2894,-1146,-2368,1444,5920,38433,43108,-6061,-2415,34632,,144.0,-4722,8,,,-1194,,,29996,-60000,0.0,,0.0,1055.0,-28949,4489,40361,44850,44850,354.0,,32513.0,0.0,3376.0,0.0,,,,,,
2712,2013年01月01日至2013年03月31日,,-4549,-4549,,,12863,0.0,3059,0,-1,479.0,,,,-67.0,-2800,244,-133,328,,-2568,,-5493,-6923,1524,-1378,-12270,-14838,1562,-2987,-3185,0,-6172,,0.0,-1205,7,,,1136,,,29979,-30000,0.0,0.0,0.0,668.0,-19353,-24389,40361,15972,15972,-140.0,,16400.0,0.0,2334.0,-20000.0,,,,,,
2712,2012年01月01日至2012年12月31日,,65023,65023,,,63940,-10.0,15975,342,-306,2092.0,,,,0.0,-8726,1471,316,497,,-6036,,-4910,-5634,-7451,-7918,-25913,-31949,50084,115107,-17910,-13,97184,,0.0,-11376,80029,-244.0,,66456,,,-59959,-120000,-32000.0,0.0,0.0,1980.0,-179979,-16339,56700,40361,40361,406.0,,82033.0,,-1953.0,30000.0,,,,,,
2712,2012年01月01日至2012年09月30日,,46440,46440,,,50164,-10.0,12651,309,-352,1456.0,,,,0.0,-544,1283,-90,253,5283.0,6185,,8848,-6787,-20569,-5829,-26455,-20270,43888,90328,-12761,-8,77619,,0.0,-9732,423,,,-7759,,,-14972,-90000,-32000.0,0.0,,,-118972,-49112,56700,7588,7588,,,64158.0,,1550.0,18000.0,-60.0,-2118.0,60.0,,,
2712,2012年01月01日至2012年06月30日,,7219,7219,,,33681,,8824,193,-400,,,,,,-4417,1544,-452,-2160,4001.0,10,,-4824,-8604,-7525,-3605,-26251,-26241,16915,24134,-8871,-39,15298,,,-5541,405,,,-4192,,,20009,-60000,,,,-32000.0,-36991,-25885,56700,30815,30815,,,43156.0,,,35000.0,-74.0,-1693.0,74.0,932.0,1494.0,944.0
